"Software Engineer","Java,Python,C++,Data Structures,Algorithms,OOP,Git"
"Backend Developer","Python,Django,Flask,Node.js,REST API,MySQL,Git"
"Frontend Developer","HTML,CSS,JavaScript,React,Bootstrap,Git"
"Full Stack Developer","HTML,CSS,JavaScript,React,Node.js,Python,MySQL,Git"
"Mobile App Developer (Android)","Java,Kotlin,Android Studio,Firebase,Git"
"Mobile App Developer (iOS)","Swift,Objective-C,Xcode,iOS SDK,Git"
"Cross-Platform App Developer","Flutter,Dart,React Native,JavaScript,Git"
"Game Developer","Unity,C#,C++,Game Physics,Blender,OOP"
"AR/VR Developer","Unity,C#,ARCore,ARKit,3D Modeling,Blender"
"Desktop Application Developer","C#,Java,Python,Qt,WinForms,Git"
"Cloud Engineer","AWS,Azure,Google Cloud,Docker,Kubernetes,Linux,Git"
"DevOps Engineer","Linux,Docker,Kubernetes,Jenkins,Git,CI/CD,AWS"
"Site Reliability Engineer (SRE)","Linux,Docker,Kubernetes,Monitoring,AWS,Python"
"Infrastructure Engineer","Terraform,Ansible,Linux,Networking,Cloud(AWS/Azure),Python"
"Cyber Security Analyst","Networking,Linux,Python,Cryptography,Firewalls,SIEM,Ethical Hacking"
"Ethical Hacker / Penetration Tester","Networking,Kali Linux,Python,Penetration Testing,Burp Suite,Nmap"
"Security Engineer","Firewalls,IDS/IPS,PKI,Zero Trust,Cloud Security,Python"
"Incident Responder","Forensics,Malware Analysis,Python,Networking,EDR,Log Analysis"
"AI Engineer","Python,Machine Learning,Deep Learning,TensorFlow,PyTorch,Pandas,NumPy,Statistics,Git"
"Machine Learning Engineer","Python,Scikit-learn,TensorFlow,PyTorch,Pandas,NumPy,Statistics,Git"
"Data Scientist","Python,Pandas,NumPy,Statistics,Machine Learning,SQL,Data Visualization"
"Data Analyst","Excel,SQL,Power BI,Python,Statistics,Pandas"
"Business Intelligence Analyst","Power BI,Tableau,SQL,Excel,Data Modeling"
"Data Engineer","Python,SQL,Apache Spark,Hadoop,ETL,Docker,Git"
"NLP Engineer","Python,NLP,Transformers,LLMs,Hugging Face,PyTorch"
"Computer Vision Engineer","Python,OpenCV,Deep Learning,CNN,TensorFlow,PyTorch"
"Generative AI Engineer","Python,LLMs,Prompt Engineering,LangChain,RAG,OpenAI API,Vector Database"
"AI Research Engineer","Python,Deep Learning,PyTorch,Research Papers,Mathematics"
"Network Engineer","Networking,Cisco,Routing,Switching,TCP/IP,Firewall"
"Telecom Engineer","5G,VoIP,SIP,RF Design,Optical Networks,Python"
"Wireless Engineer","Wi-Fi,RF Spectrum,Antenna Design,Linux,Wireshark"
"Embedded Systems Engineer","C,C++,Microcontrollers,Arduino,STM32,I2C,SPI"
"IoT Engineer","Arduino,Raspberry Pi,C++,Python,MQTT,Sensors"
"Firmware Engineer","C,Assembly,Bootloaders,RTOS,Debugging,JTAG"
"Robotics Engineer","Python,C++,ROS,OpenCV,Embedded Systems"
"Automation Engineer","PLC,SCADA,HMI,Industrial Networks,Python"
"Mechanical Engineer","AutoCAD,SolidWorks,ANSYS,CATIA,Manufacturing"
"Automobile Engineer","CAD,CATIA,SolidWorks,Automotive Systems,Engine Design"
"Aerospace Engineer","MATLAB,ANSYS,CATIA,CFD,Aerodynamics"
"Industrial Engineer","Lean Manufacturing,Six Sigma,AutoCAD,Operations Research"
"Production Engineer","AutoCAD,CAD/CAM,Manufacturing,Quality Control"
"Robotics Mechanical Engineer","ROS,CAD,Kinematics,Dynamics,Control Systems"
"Electronics Engineer","Embedded C,Microcontrollers,PCB Design,VLSI,Circuit Design"
"Electrical Engineer","MATLAB,PLC,SCADA,Power Systems,AutoCAD Electrical"
"Power Engineer","High Voltage,Protection Systems,Renewable Energy,PSCAD,Grid Codes"
"Civil Engineer","AutoCAD,STAAD Pro,ETABS,Revit,Surveying"
"Structural Engineer","STAAD Pro,ETABS,Concrete Design,Steel Design,Seismic Analysis"
"Transportation Engineer","AutoCAD,GIS,Traffic Simulation,VISSIM,Urban Planning"
"Geotechnical Engineer","PLAXIS,GeoStudio,Soil Mechanics,Rock Mechanics,AutoCAD"
"Chemical Engineer","Process Simulation,Aspen HYSYS,Thermodynamics,Process Design"
"Process Engineer","P&ID,HAZOP,DCS,Process Optimization,Six Sigma"
"Biomedical Engineer","MATLAB,Medical Imaging,Signal Processing,Python"
"Biomechanics Engineer","FEA,Motion Capture,MATLAB,Anatomy,Robotics"
"Environmental Engineer","GIS,Environmental Analysis,AutoCAD,Sustainability"
"Agricultural Engineer","AutoCAD,IoT,GIS,Farm Automation"
"Renewable Energy Engineer","Solar Energy,Wind Energy,MATLAB,Power Systems"
"System Administrator","Linux,Windows Server,Networking,Bash Scripting,Virtualization"
"Database Administrator (DBA)","SQL,MySQL,PostgreSQL,Oracle,Database Backup,Performance Tuning"
"QA Engineer","Manual Testing,Selenium,Python,Test Cases,JIRA"
"Automation Test Engineer","Selenium,Java,Python,TestNG,Jenkins"
"UI/UX Designer","Figma,Adobe XD,Wireframing,Prototyping,User Research"
"Blockchain Developer","Solidity,Ethereum,Smart Contracts,Web3,JavaScript"
"Quantum Computing Engineer","Python,Qiskit,Linear Algebra,Quantum Algorithms"
"Computer Engineer","C,C++,Python,Operating Systems,Computer Organization,Data Structures"




